"FullDomainName","IPAddress","Make","Model","ClientVersion","OSDescription","LastSyncTime","LastReportedStatusTime"
"pcauz5073.alkaloidad.local","10.10.6.60","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:38:26","05.3.2025 06:41:26"
"pc001071.alkaloidad.local","10.10.64.32","Dell Inc.","Latitude E5550","10.0.19041.4717","Windows 10 Enterprise","04.3.2025 17:37:18","04.3.2025 17:39:20"
"pc000812.alkaloidad.local","10.30.17.150","Dell Inc.","Latitude E5520","10.0.17763.1852","Windows 10 Enterprise","06.2.2025 09:58:49","23.1.2025 11:44:09"
"pc000009.alkaloidad.local","10.10.64.1","Dell Inc.","Latitude 5520","1309.2409.26012.0","Windows 10 Enterprise","05.3.2025 06:17:15","05.3.2025 06:25:31"
"pcbmag0024.alkaloidad.local","10.30.0.50","Dell Inc.","OptiPlex 5050","10.0.19041.4717","Windows 10 Enterprise","05.3.2025 04:48:22","05.3.2025 04:51:32"
"pcauz4097.alkaloidad.local","10.10.1.6","Dell Inc.","Latitude 5500","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 08:26:18","05.3.2025 06:30:05"
"pcaitcri.alkaloidad.local","10.10.50.127","VMware, Inc.","VMware Virtual Platform","10.0.19041.5198","Windows 10 Enterprise","05.3.2025 01:47:35","05.3.2025 01:50:02"
"pcakkf2030.alkaloidad.local","10.10.42.150","Dell Inc.","Latitude 5580","10.0.19041.5438","Windows 10 Enterprise","04.3.2025 13:58:27","04.3.2025 14:07:32"
"pc001213.alkaloidad.local","10.10.64.57","Dell Inc.","OptiPlex 7010","10.0.19041.5198","Windows 10 Enterprise","05.3.2025 07:00:00","05.3.2025 07:00:01"
"pcakkf3026.alkaloidad.local","10.10.41.114","Dell Inc.","Latitude 5580","10.0.19041.4717","Windows 10 Enterprise","07.2.2025 15:41:10","16.1.2020 13:09:54"
"pc000413.alkaloidad.local","10.10.40.92","Dell Inc.","Latitude 5580","10.0.19041.5198","Windows 10 Enterprise","05.3.2025 07:48:43","05.3.2025 02:01:06"
"pc000104.alkaloidad.local","10.10.41.224","Dell Inc.","Latitude 5580","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 09:35:57","05.3.2025 09:45:14"
"pcakkf2048.alkaloidad.local","10.10.40.163","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:02:39","05.3.2025 06:05:54"
"pc001184.alkaloidad.local","10.10.41.32","Dell Inc.","Latitude 5590","10.0.19041.5198","Windows 10 Enterprise","05.3.2025 02:28:56","05.3.2025 02:32:03"
"pcainst0038.alkaloidad.local","10.15.55.11","Dell Inc.","Latitude 5490","10.0.19041.5198","Windows 10 Enterprise","05.3.2025 03:18:24","05.3.2025 03:21:33"
"pc000498.alkaloidad.local","10.10.40.203","Dell Inc.","OptiPlex 5060","1309.2412.6022.0","Windows 10 Enterprise","05.3.2025 06:50:49","05.3.2025 06:51:42"
"pcakkf2043.alkaloidad.local","10.10.77.15","Dell Inc.","OptiPlex 5040","10.0.17134.1038","Windows 10 Enterprise","04.3.2025 22:16:54","04.3.2025 22:25:50"
"pc000133.alkaloidad.local","10.10.40.142","Dell Inc.","Latitude 5580","10.0.19041.5198","Windows 10 Enterprise","05.3.2025 06:25:28","05.3.2025 06:34:59"
